,URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
28,B0_102,23,6,6,7,,42,35,568,99,16,3,11,1696,18,20,13422,1844,18,2.0,0
29,B0_1130,23,6,4,67,434.0,30,115,848,115,0,0,0,0,0,0,0,0,0,0.0,0
30,B0_1185,23,6,5,115,324.0,47,98,205,180,0,0,0,0,0,0,0,0,0,0.0,0
31,B0_1369,23,6,6,200,13001.0,29,98,889,593,0,0,0,0,0,0,0,0,0,0.0,0
32,B0_1412,23,7,1,125,3257.0,29,98,129,376,0,0,0,0,0,0,0,0,0,0.0,0
33,B0_2217,23,6,1,124,6748.0,42,13,695,578,7,4,5,630,7,4,244,630,7,0.0,0
34,B0_2240,23,7,3,200,,29,98,889,593,24,5,8,1740,24,11,696,1740,24,0.0,0
35,B0_23,23,6,2,124,,42,137,663,487,19,7,6,2404,23,20,6179,2684,23,4.0,0
36,B0_241,23,6,3,124,,15,98,870,385,19,14,6,1980,23,25,5737,2276,23,4.0,0
37,B0_285,23,6,3,124,,42,158,431,342,4,0,1,519,8,8,1138,823,8,4.0,0
38,B0_465,23,6,3,148,,42,110,703,566,10,0,5,1186,14,15,1900,1476,14,4.0,0
39,B0_599,23,6,1,217,,19,12,111,98,43,4,4,5738,47,50,56926,6046,47,4.0,0
40,B0_614,23,6,4,7,240.0,42,21,239,180,8,0,2,723,10,11,1837,871,10,2.0,0
41,B0_622,23,6,1,7,3985.0,7,3,660,470,40,17,16,3285,46,45,12003,3729,46,6.0,0
42,B0_790,23,6,5,115,324.0,29,98,358,458,0,0,0,0,0,0,0,0,0,0.0,0
43,M0_175,24,8,1,224,6173.0,29,98,889,593,2,0,1,132,2,5,318,132,2,0.0,1
44,M0_89,24,9,4,7,319.0,19,138,889,593,7,0,2,720,9,10,1269,868,9,2.0,1
45,B0_108,24,6,6,233,,25,98,784,116,84,54,5,10490,96,106,106925,11482,96,12.0,0
46,B0_126,24,6,1,124,34.0,42,148,734,379,65,3,5,6286,69,75,90508,6596,69,4.0,0
47,B0_171,24,7,6,200,,42,90,427,434,14,6,6,1907,18,18,5601,2171,18,4.0,0
48,B0_2301,24,6,6,108,1778.0,29,98,30,51,7,7,3,618,7,9,562,618,7,0.0,0
49,B0_2313,24,6,6,128,,29,98,543,416,6,3,2,528,6,4,244,528,6,0.0,0
50,B0_2315,24,6,5,115,324.0,7,177,794,559,6,4,4,564,6,8,508,564,6,0.0,0
51,B0_282,24,8,4,35,224.0,42,58,507,522,19,2,4,2131,23,23,9471,2441,23,4.0,0
52,B0_321,24,6,6,229,,7,105,640,235,12,2,7,984,16,16,1839,1292,16,4.0,0
53,B0_326,24,7,4,7,318.0,29,98,889,593,21,1,8,1606,25,13,1276,1914,25,4.0,0
54,B0_483,24,7,6,211,,29,98,367,200,16,6,8,2279,22,22,2562,2729,22,6.0,0
55,B0_543,24,6,4,17,345.0,42,94,716,509,19,5,9,1390,21,25,3890,1540,21,2.0,0
56,B0_656,24,6,3,7,756.0,30,115,320,523,23,3,15,2485,27,28,9332,2799,27,4.0,0
57,B0_1163,25,6,6,46,,7,20,38,477,0,0,0,0,0,0,0,0,0,0.0,0
58,B0_1308,25,7,6,200,,42,90,427,434,0,0,0,0,0,0,0,0,0,0.0,0
59,B0_1347,25,6,3,200,14839.0,42,90,190,90,0,0,0,0,0,0,0,0,0,0.0,0
60,B0_2127,25,6,5,118,324.0,42,75,482,351,5,2,4,474,5,4,250,474,5,0.0,0
61,B0_2224,25,6,3,112,,29,98,532,133,6,5,2,564,6,7,442,564,6,0.0,0
62,B0_468,25,6,3,7,,42,27,151,586,12,0,5,1327,16,17,14050,1615,16,4.0,0
63,B0_568,25,6,3,200,658.0,29,98,889,593,11,3,4,1232,15,16,9806,1530,15,4.0,0
64,B0_577,25,6,3,124,,37,166,658,60,18,7,9,1586,22,17,1735,1898,22,4.0,0
65,B0_704,25,6,1,7,,42,21,400,284,36,17,9,4737,42,35,10343,5173,42,6.0,0
66,B0_781,25,6,3,7,195.0,15,157,213,299,0,0,0,0,0,0,0,0,0,0.0,0
67,B0_786,25,6,5,115,324.0,42,24,562,3,0,0,0,0,0,0,0,0,0,0.0,0
68,B0_886,25,6,1,7,,42,27,674,384,0,0,0,0,0,0,0,0,0,0.0,0
69,M0_111,26,8,3,200,,29,98,91,593,12,0,2,1052,14,14,11935,1204,14,2.0,1
70,M0_15,26,8,6,200,,29,98,859,593,9,1,2,878,11,12,2242,1018,11,2.0,1
71,M0_171,26,7,1,217,4166.0,42,133,662,451,24,0,3,2508,30,30,21098,2992,30,6.0,1
72,M0_68,26,7,1,75,962.0,15,156,493,183,9,0,4,842,11,12,2101,994,11,2.0,1
73,M0_70,26,7,1,75,962.0,15,156,864,22,7,0,2,722,11,10,2000,1016,11,4.0,1
74,M0_72,26,7,1,75,962.0,15,156,864,22,7,0,2,722,11,9,1913,1036,11,4.0,1
75,B0_1125,26,6,6,200,2688.0,42,54,64,450,0,0,0,0,0,0,0,0,0,0.0,0
76,B0_1205,26,7,3,148,,42,62,69,434,0,0,0,0,0,0,0,0,0,0.0,0
77,B0_1321,26,6,3,200,,7,105,110,304,0,0,0,0,0,0,0,0,0,0.0,0
78,B0_1374,26,6,4,7,199.0,30,115,305,281,0,0,0,0,0,0,0,0,0,0.0,0
79,B0_159,26,6,3,82,3548.0,29,98,778,534,13,0,1,1378,19,19,6226,1856,19,6.0,0
80,B0_173,26,7,6,200,,42,90,427,434,26,19,5,2727,30,19,5765,2991,30,4.0,0
81,B0_179,26,6,2,237,0.0,42,21,363,567,43,39,3,6325,53,50,32025,7063,53,10.0,0
82,B0_2027,26,6,1,217,5426.0,42,83,542,371,9,7,4,702,9,10,696,702,9,0.0,0
83,B0_2152,26,7,6,20,,29,98,75,72,11,9,7,882,11,9,562,882,11,0.0,0
84,B0_2293,26,6,3,124,,7,20,718,22,4,3,2,396,4,6,482,396,4,0.0,0
85,B0_256,26,6,4,17,345.0,42,35,686,224,43,0,2,3252,47,47,60076,3564,47,4.0,0
86,B0_258,26,7,6,200,,42,90,427,434,46,12,11,3783,50,18,5605,4047,50,4.0,0
87,B0_297,26,7,6,200,,42,90,427,434,21,8,9,2373,25,27,6199,2637,25,4.0,0
88,B0_660,26,6,6,148,,42,160,447,87,7,0,2,984,11,12,1650,1300,11,4.0,0
89,B0_793,26,6,1,217,,42,29,439,306,0,0,0,0,0,0,0,0,0,0.0,0
90,B0_859,26,6,5,124,324.0,42,137,858,75,0,0,0,0,0,0,0,0,0,0.0,0
91,B0_883,26,6,3,148,,42,114,114,78,0,0,0,0,0,0,0,0,0,0.0,0
92,B0_928,26,6,3,200,,42,56,871,273,0,0,0,0,0,0,0,0,0,0.0,0
93,B0_982,26,6,6,217,,42,13,604,558,0,0,0,0,0,0,0,0,0,0.0,0
94,M0_67,27,7,3,36,8756.0,15,156,205,141,38,0,3,4207,44,45,39662,4679,44,6.0,1
95,M0_75,27,7,3,7,193.0,42,114,279,434,9,0,1,1838,11,13,4524,1992,11,2.0,1
96,B0_1209,27,8,3,200,,42,155,83,78,0,0,0,0,0,0,0,0,0,0.0,0
97,B0_1353,27,6,5,115,324.0,42,24,399,305,0,0,0,0,0,0,0,0,0,0.0,0
98,B0_2085,27,6,6,234,,42,133,648,480,3,3,1,366,3,5,306,366,3,0.0,0
99,B0_362,27,6,3,28,,2,126,293,254,40,13,14,3781,46,44,34101,4253,46,6.0,0
100,B0_453,27,6,3,76,7967.0,29,98,572,324,6,0,4,631,8,11,812,787,8,2.0,0
101,B0_966,27,7,1,7,11506.0,42,35,707,537,0,0,0,0,0,0,0,0,0,0.0,0
102,M0_21,28,9,3,28,,33,68,475,296,5,0,1,592,7,9,1062,732,7,2.0,1
103,M0_94,28,7,5,115,324.0,42,35,383,112,5,0,2,556,9,9,1154,860,9,4.0,1
104,B0_1020,28,8,6,200,39036.0,45,142,362,260,0,0,0,0,0,0,0,0,0,0.0,0
105,B0_1038,28,6,1,124,,42,21,599,428,0,0,0,0,0,0,0,0,0,0.0,0
106,B0_1357,28,7,4,7,,14,98,50,580,0,0,0,0,0,0,0,0,0,0.0,0
107,B0_1413,28,7,1,148,,27,113,675,524,0,0,0,0,0,0,0,0,0,0.0,0
108,B0_2061,28,7,5,124,,42,84,669,185,6,4,3,552,6,8,612,552,6,0.0,0
109,B0_2182,28,7,1,148,,27,113,675,524,8,4,6,696,8,10,634,696,8,0.0,0
110,B0_2228,28,6,5,118,324.0,42,119,78,375,5,3,3,474,5,6,364,474,5,0.0,0
111,B0_229,28,7,6,7,8578.0,7,105,326,459,21,7,5,2830,29,25,6137,3400,29,8.0,0
112,B0_2309,28,6,3,7,10576.0,19,145,576,223,14,9,2,2094,14,12,8019,2094,14,0.0,0
113,B0_310,28,7,5,118,324.0,29,98,215,352,17,1,7,1848,23,24,2167,2322,23,6.0,0
114,B0_332,28,7,3,78,12846.0,42,81,868,50,17,12,3,2314,23,27,21419,2740,23,6.0,0
115,B0_438,28,7,3,106,6666.0,42,21,689,419,66,5,11,6311,70,64,63634,6633,70,4.0,0
116,B0_563,28,6,4,74,445.0,42,35,140,224,28,5,8,2324,30,33,24662,2482,30,2.0,0
117,B0_638,28,8,3,7,,42,13,459,174,6,0,3,632,8,8,593,776,8,2.0,0
118,B0_695,28,7,5,115,324.0,29,98,889,593,33,26,4,3590,39,48,30057,4064,39,6.0,0
119,B0_835,28,6,6,128,,42,90,770,550,0,0,0,0,0,0,0,0,0,0.0,0
120,B0_96,28,6,6,124,,42,21,391,136,26,19,3,2632,30,36,27404,2916,30,4.0,0
121,B0_981,28,6,3,200,18438.0,42,27,177,62,0,0,0,0,0,0,0,0,0,0.0,0
122,M0_106,29,7,1,7,7314.0,42,62,382,582,34,0,2,2934,40,40,34995,3416,40,6.0,1
123,M0_74,29,7,5,115,324.0,40,172,864,177,5,0,2,593,7,8,1128,751,7,2.0,1
124,B0_1044,29,6,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0.0,0
125,B0_1051,29,6,2,237,0.0,42,21,363,567,0,0,0,0,0,0,0,0,0,0.0,0
126,B0_1095,29,8,1,7,9136.0,42,21,341,297,0,0,0,0,0,0,0,0,0,0.0,0
127,B0_1096,29,6,3,7,5019.0,42,45,570,321,0,0,0,0,0,0,0,0,0,0.0,0
128,B0_1117,29,7,6,200,,42,90,427,434,0,0,0,0,0,0,0,0,0,0.0,0
129,B0_1154,29,6,4,77,210.0,42,79,586,396,0,0,0,0,0,0,0,0,0,0.0,0
130,B0_1287,29,6,3,36,8654.0,21,111,706,478,0,0,0,0,0,0,0,0,0,0.0,0
131,B0_1408,29,7,4,38,238.0,7,122,786,576,0,0,0,0,0,0,0,0,0,0.0,0
132,B0_170,29,6,1,7,26856.0,29,98,710,502,26,6,5,2519,30,30,22379,2851,30,4.0,0
133,B0_2024,29,6,5,115,324.0,42,77,526,361,12,8,6,900,12,9,568,900,12,0.0,0
134,B0_2089,29,7,3,35,,7,3,406,309,709,708,3,2362906,709,837,83056,2362906,709,0.0,0
135,B0_2123,29,6,3,7,10210.0,42,21,676,541,5,4,2,486,5,7,542,486,5,0.0,0
136,B0_2128,29,6,1,7,13684.0,42,74,737,103,15,8,7,1134,15,9,605,1134,15,0.0,0
137,B0_2166,29,6,5,124,324.0,7,109,829,579,3,3,1,366,3,5,306,366,3,0.0,0
138,B0_2242,29,6,4,217,770.0,42,132,335,255,5,3,3,486,5,7,436,486,5,0.0,0
139,B0_2266,29,8,3,76,6813.0,42,140,435,84,17,9,10,1249,17,15,1062,1249,17,0.0,0
140,B0_259,29,6,5,115,324.0,29,98,320,509,34,9,6,2861,38,26,15260,3229,38,4.0,0
141,B0_44,29,6,1,124,34.0,42,27,337,239,10,2,9,612,12,14,918,772,12,2.0,0
142,B0_448,29,7,1,7,,42,21,400,284,32,21,8,4561,38,36,10429,4997,38,6.0,0
143,B0_499,29,8,3,106,20404.0,42,21,689,419,33,6,5,3533,37,35,46688,3859,37,4.0,0
144,B0_626,29,8,3,140,,9,163,170,247,28,0,5,3183,36,33,24455,3777,36,8.0,0
145,B0_642,29,6,3,71,7159.0,42,13,661,27,21,6,11,1515,23,18,1334,1675,23,2.0,0
146,B0_726,29,6,6,28,,42,94,32,349,24,1,3,2195,29,30,55576,2515,29,4.0,0
147,B0_887,29,6,4,7,388.0,42,97,233,108,0,0,0,0,0,0,0,0,0,0.0,0
148,B0_894,29,6,1,17,199.0,29,98,4,539,0,0,0,0,0,0,0,0,0,0.0,0
149,B0_920,29,8,5,115,324.0,2,123,19,479,0,0,0,0,0,0,0,0,0,0.0,0
150,B0_942,29,6,1,217,,7,105,390,282,0,0,0,0,0,0,0,0,0,0.0,0
151,B0_978,29,6,6,124,,42,21,391,136,0,0,0,0,0,0,0,0,0,0.0,0
152,M0_112,30,8,4,7,177.0,29,98,889,593,7,0,2,666,9,9,1094,826,9,2.0,1
153,B0_1052,30,6,6,62,,35,98,762,404,0,0,0,0,0,0,0,0,0,0.0,0
154,B0_1388,30,6,4,91,199.0,42,58,820,120,0,0,0,0,0,0,0,0,0,0.0,0
155,B0_160,30,7,6,200,,42,90,427,434,14,9,3,1918,18,17,5546,2182,18,4.0,0
156,B0_169,30,6,1,124,,42,21,599,428,62,52,12,8974,76,69,30726,10006,76,14.0,0
157,B0_209,30,6,1,7,,42,21,400,284,22,17,2,3914,28,27,9833,4350,28,6.0,0
158,B0_2097,30,6,1,139,,29,98,172,199,18,17,5,1188,18,19,1451,1188,18,0.0,0
159,B0_2206,30,6,2,72,,42,158,472,214,6,4,4,552,6,9,564,552,6,0.0,0
160,B0_2282,30,6,3,7,14703.0,42,140,718,491,2,2,1,276,2,4,250,276,2,0.0,0
161,B0_330,30,6,3,200,8751.0,42,35,659,493,15,2,6,1528,19,17,5586,1860,19,4.0,0
162,B0_348,30,6,5,115,324.0,42,85,679,555,90,6,14,8646,92,100,95659,8808,92,2.0,0
163,B0_369,30,7,1,7,,42,21,400,284,31,26,2,4412,37,37,27412,4848,37,6.0,0
164,B0_560,30,6,6,124,,42,21,391,136,31,23,3,3605,39,41,34388,4183,39,8.0,0
165,B0_639,30,6,1,124,,42,21,599,428,76,47,12,9007,88,44,23985,9891,88,12.0,0
166,B0_711,30,7,6,6,350.0,42,13,121,353,23,1,10,1902,27,26,2764,2194,27,4.0,0
167,B0_73,30,7,1,14,,42,39,605,265,48,3,6,3418,52,48,57377,3706,52,4.0,0
168,B0_824,30,8,3,148,,42,21,479,137,0,0,0,0,0,0,0,0,0,0.0,0
169,B0_891,30,6,6,124,,42,21,391,136,0,0,0,0,0,0,0,0,0,0.0,0
170,B0_931,30,7,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0.0,0
171,M0_73,31,7,5,118,324.0,42,21,864,242,7,0,2,707,11,11,1018,1031,11,4.0,1
172,B0_1028,31,8,6,2,604.0,42,21,255,360,0,0,0,0,0,0,0,0,0,0.0,0
173,B0_1114,31,7,4,44,287.0,29,98,499,364,0,0,0,0,0,0,0,0,0,0.0,0
174,B0_1127,31,7,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0.0,0
175,B0_1241,31,8,6,7,65815.0,42,67,349,334,0,0,0,0,0,0,0,0,0,0.0,0
176,B0_140,31,6,1,124,,42,21,599,428,65,53,14,8568,77,70,26049,9452,77,12.0,0
177,B0_2158,31,6,3,47,,29,98,144,286,9,3,7,738,9,12,766,738,9,0.0,0
178,B0_2278,31,7,6,100,4075.0,7,105,28,462,4,3,2,432,4,6,372,432,4,0.0,0
179,B0_263,31,8,4,28,287.0,19,43,80,438,5,0,1,593,9,9,955,929,9,4.0,0
180,B0_501,31,7,6,200,,42,90,427,434,28,13,13,2773,32,32,6566,3037,32,4.0,0
181,B0_504,31,7,3,30,5132.0,42,35,720,332,27,0,3,2743,33,33,43878,3181,33,6.0,0
182,B0_597,31,6,5,118,324.0,42,79,881,31,23,1,4,2262,29,28,16553,2736,29,6.0,0
183,B0_65,31,6,5,115,324.0,29,98,889,593,18,14,3,2201,22,23,7756,2543,22,4.0,0
184,B0_658,31,6,1,7,,29,98,400,284,23,17,3,3981,29,27,9867,4417,29,6.0,0
185,B0_698,31,8,5,115,324.0,42,35,802,105,103,0,3,7073,105,113,179439,7217,105,2.0,0
186,B0_705,31,6,3,7,,42,62,681,518,13,8,8,1355,16,16,1145,1519,16,2.0,0
187,B0_761,31,7,1,124,,42,21,599,428,57,45,12,8136,69,64,25686,9020,69,12.0,0
188,B0_850,31,7,6,7,22004.0,42,21,711,434,0,0,0,0,0,0,0,0,0,0.0,0
189,B0_945,31,6,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0.0,0
190,B0_992,31,7,4,17,345.0,42,140,485,327,0,0,0,0,0,0,0,0,0,0.0,0
191,M0_136,32,11,3,200,643.0,29,98,889,593,22,1,5,2783,30,26,3824,3367,30,8.0,1
192,M0_140,32,9,3,200,637.0,29,98,889,593,14,1,4,1457,20,16,3229,1881,20,6.0,1
193,B0_1175,32,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0.0,0
194,B0_1181,32,6,1,124,34.0,42,79,873,107,0,0,0,0,0,0,0,0,0,0.0,0
195,B0_1222,32,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0.0,0
196,B0_128,32,9,6,111,420762.0,29,98,45,593,17,5,8,1314,19,26,1881,1452,19,2.0,0
197,B0_1341,32,8,1,7,1399.0,42,21,609,547,0,0,0,0,0,0,0,0,0,0.0,0
198,B0_1372,32,6,3,7,,7,165,558,403,0,0,0,0,0,0,0,0,0,0.0,0
199,B0_1381,32,7,3,200,,42,90,694,17,0,0,0,0,0,0,0,0,0,0.0,0
200,B0_14,32,7,3,200,,42,21,627,57,14,10,2,2000,20,20,9588,2498,20,6.0,0
201,B0_165,32,7,1,124,,42,21,599,428,49,42,5,7613,61,52,24774,8497,61,12.0,0
202,B0_176,32,8,3,7,,29,98,314,301,24,0,4,2176,28,29,17335,2456,28,4.0,0
203,B0_2015,32,6,6,124,,29,98,391,136,4,3,2,432,4,5,310,432,4,0.0,0
204,B0_2095,32,8,6,118,328.0,41,41,775,59,5,3,2,474,5,7,426,474,5,0.0,0
205,B0_218,32,7,3,7,,42,48,67,29,94,0,4,11902,102,121,173484,12492,102,8.0,0
206,B0_2229,32,8,5,115,324.0,29,98,769,329,11,10,6,798,11,15,1124,798,11,0.0,0
207,B0_2271,32,6,4,90,199.0,42,52,448,434,6,3,4,564,6,7,442,564,6,0.0,0
208,B0_254,32,8,4,7,334.0,36,1,284,298,8,1,4,816,10,13,1541,958,10,2.0,0
209,B0_303,32,7,4,50,287.0,42,67,667,299,71,0,3,10999,73,70,88707,11147,73,2.0,0
210,B0_40,32,7,6,7,20212.0,42,21,711,434,43,26,14,4214,49,28,9246,4650,49,6.0,0
211,B0_400,32,8,3,136,,42,155,730,507,36,0,2,3185,40,40,50608,3465,40,4.0,0
212,B0_437,32,8,3,136,,42,155,730,507,24,2,4,1888,28,25,40314,2168,28,4.0,0
213,B0_491,32,7,6,124,,29,98,164,92,7,0,3,734,11,12,7145,1060,11,4.0,0
214,B0_507,32,7,3,106,11827.0,42,21,689,419,38,2,5,4607,42,35,58676,4945,42,4.0,0
215,B0_582,32,8,1,217,1108.0,42,27,396,288,13,0,2,2065,17,16,7280,2349,17,4.0,0
216,B0_937,32,7,5,124,324.0,42,13,521,413,0,0,0,0,0,0,0,0,0,0.0,0
217,M0_122,33,11,3,200,646.0,29,98,889,593,13,1,5,1497,17,14,2116,1787,17,4.0,1
218,M0_125,33,9,3,200,637.0,29,98,889,593,23,1,5,2851,31,26,3814,3431,31,8.0,1
219,M0_138,33,9,3,200,640.0,29,98,889,593,18,1,5,2147,24,20,2848,2577,24,6.0,1
220,M0_142,33,9,3,200,643.0,29,98,889,593,4,0,4,264,4,6,388,264,4,0.0,1
221,M0_59,33,9,3,200,,29,98,853,593,14,1,8,1151,18,15,1211,1445,18,4.0,1
222,M0_96,33,11,6,200,,29,98,832,186,8,0,2,1045,12,11,1362,1333,12,4.0,1
223,B0_1068,33,7,6,148,,42,90,26,383,0,0,0,0,0,0,0,0,0,0.0,0
224,B0_1101,33,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0.0,0
225,B0_1141,33,8,3,136,,42,155,730,507,0,0,0,0,0,0,0,0,0,0.0,0
226,B0_1190,33,6,6,124,,42,21,391,136,0,0,0,0,0,0,0,0,0,0.0,0
227,B0_1239,33,6,4,7,,21,38,839,359,0,0,0,0,0,0,0,0,0,0.0,0
228,B0_1288,33,6,6,60,19890.0,7,16,347,340,0,0,0,0,0,0,0,0,0,0.0,0
229,B0_1350,33,8,6,211,,42,27,367,200,0,0,0,0,0,0,0,0,0,0.0,0
230,B0_1390,33,9,6,124,18302.0,42,21,605,354,0,0,0,0,0,0,0,0,0,0.0,0
231,B0_1419,33,7,4,7,318.0,21,111,103,151,0,0,0,0,0,0,0,0,0,0.0,0
232,B0_163,33,8,3,136,,42,155,730,507,52,7,8,3438,56,51,46498,3718,56,4.0,0
233,B0_2100,33,7,4,9,,29,98,818,474,4,3,2,420,4,5,304,420,4,0.0,0
234,B0_2126,33,6,6,7,,42,140,494,182,7,5,4,606,7,6,474,606,7,0.0,0
235,B0_215,33,8,3,164,,42,21,107,71,32,11,6,3694,40,32,11543,4286,40,8.0,0
236,B0_2155,33,7,3,106,60722.0,42,21,689,419,4,2,3,408,4,6,382,408,4,0.0,0
237,B0_2205,33,6,3,58,,42,13,44,380,8,4,5,660,8,9,556,660,8,0.0,0
238,B0_2219,33,6,1,13,,42,35,797,308,5,4,2,486,5,7,542,486,5,0.0,0
239,B0_2289,33,8,3,136,,42,155,730,507,10,4,4,816,10,6,476,816,10,0.0,0
240,B0_312,33,6,3,118,39.0,42,5,296,328,24,1,4,3375,28,30,18396,3703,28,4.0,0
241,B0_570,33,8,3,52,1371.0,18,98,573,416,19,0,3,2042,27,27,4760,2622,27,8.0,0
242,B0_652,33,7,3,110,,42,90,88,151,105,98,7,8692,111,130,179133,9172,111,6.0,0
243,B0_783,33,6,1,7,,42,21,400,284,0,0,0,0,0,0,0,0,0,0.0,0
244,M0_130,34,11,3,200,655.0,29,98,889,593,27,5,8,2721,35,27,3896,3313,35,8.0,1
245,M0_159,34,11,3,200,649.0,29,98,889,593,15,1,5,1632,21,18,2661,2068,21,6.0,1
246,M0_166,34,9,1,148,,46,55,656,399,26,0,3,3569,32,31,10750,4037,32,6.0,1
247,M0_180,34,9,4,7,214.0,29,98,889,593,9,0,4,850,11,14,1382,990,11,2.0,1
248,B0_1036,34,6,3,217,18298.0,42,60,134,95,0,0,0,0,0,0,0,0,0,0.0,0
249,B0_1054,34,7,5,115,324.0,15,98,508,364,0,0,0,0,0,0,0,0,0,0.0,0
250,B0_1087,34,7,1,124,1819.0,42,21,333,221,0,0,0,0,0,0,0,0,0,0.0,0
251,B0_110,34,7,1,124,1819.0,42,21,333,221,33,27,2,5235,41,40,14571,5835,41,8.0,0
252,B0_1207,34,8,6,211,,42,27,367,200,0,0,0,0,0,0,0,0,0,0.0,0
253,B0_1337,34,6,6,124,,42,21,391,136,0,0,0,0,0,0,0,0,0,0.0,0
254,B0_1342,34,7,1,53,,7,7,41,22,0,0,0,0,0,0,0,0,0,0.0,0
255,B0_1382,34,7,3,200,,42,21,627,57,0,0,0,0,0,0,0,0,0,0.0,0
256,B0_2098,34,7,6,62,6474.0,42,154,766,253,6,3,4,552,6,9,564,552,6,0.0,0
257,B0_2104,34,7,6,200,,7,105,245,269,8,6,5,696,8,10,636,696,8,0.0,0
258,B0_2124,34,6,6,124,,29,98,391,136,34,9,9,2412,34,7,442,2412,34,0.0,0
259,B0_2125,34,7,3,148,,19,64,723,493,3,3,1,366,3,5,306,366,3,0.0,0
260,B0_2142,34,9,1,7,1486.0,15,98,862,432,5,3,2,498,5,5,306,498,5,0.0,0
